cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
24,0.66235,0.53328,0.5186,0.9814,0.25111,0.99944,0.11929,0.27204,0.64287,0.53556,False
25,0.68039,0.55604,0.51565,0.98435,0.3208,0.99929,0.16775,0.31038,0.66294,0.55204,False
26,0.68752,0.56854,0.51953,0.98047,0.40236,0.99938,0.18653,0.34039,0.66951,0.55842,False
27,0.68102,0.56831,0.52326,0.97674,0.52642,0.99937,0.16069,0.36089,0.65824,0.54964,False
28,0.67568,0.57093,0.52595,0.97405,0.68271,0.99879,0.13603,0.38968,0.6475,0.54125,False
29,0.68113,0.57971,0.52833,0.97167,0.73547,0.99971,0.14984,0.40979,0.65275,0.54595,False
30,0.67131,0.57399,0.53251,0.96749,0.81943,0.99932,0.11729,0.41739,0.63855,0.53488,False
31,0.66436,0.57107,0.53416,0.96584,0.90328,0.99859,0.0921,0.42751,0.62781,0.52631,False
32,0.66023,0.56947,0.53987,0.96013,0.94745,0.99965,0.07938,0.43455,0.62166,0.52199,False
33,0.64198,0.55047,0.53447,0.96553,0.98193,0.99941,0.01771,0.41379,0.59826,0.50102,False
34,0.70267,0.61963,0.55176,0.94824,0.98453,0.9994,0.21499,0.50841,0.67285,0.5681,False
35,0.64153,0.54618,0.5444,0.9556,0.87582,0.99966,0.03026,0.39589,0.60088,0.50529,False
36,0.65322,0.55598,0.54902,0.95098,0.80258,0.99964,0.0742,0.39874,0.6173,0.52023,False
37,0.66128,0.56317,0.54954,0.95046,0.76706,0.99926,0.10204,0.40255,0.62817,0.52969,False
38,0.67538,0.57732,0.55826,0.94174,0.71596,0.99952,0.1544,0.41595,0.64703,0.5475,False
39,0.63662,0.53146,0.54228,0.95772,0.69368,0.9989,0.02702,0.34826,0.59985,0.50419,False
40,0.67361,0.56962,0.56622,0.93378,0.57661,0.99963,0.16398,0.38781,0.64891,0.55075,False
41,0.64806,0.53787,0.55012,0.94988,0.5486,0.999,0.07729,0.33697,0.61804,0.52128,False
42,0.62259,0.5052,0.552,0.948,0.44812,0.99941,0.00722,0.28088,0.58968,0.49745,False
43,0.67072,0.55733,0.54601,0.95399,0.45548,0.99864,0.15049,0.34539,0.64822,0.54617,False
44,0.68907,0.57748,0.54674,0.95326,0.44524,0.99641,0.20991,0.36979,0.67102,0.56637,False
45,0.71985,0.61107,0.56408,0.93592,0.396,0.99774,0.31808,0.41136,0.71042,0.60315,False
46,0.70561,0.58714,0.56217,0.93783,0.2423,0.99915,0.28247,0.35634,0.69715,0.59104,False
47,0.72624,0.60169,0.5532,0.9468,0.10596,0.99761,0.35018,0.35003,0.72594,0.61406,False
48,0.68937,0.55599,0.55436,0.94564,0.00507,0.99996,0.24297,0.27691,0.68358,0.57761,False
49,0.65981,0.52291,0.52739,0.97261,0.06977,0.99887,0.13059,0.23443,0.64499,0.5394,False
50,0.61467,0.48205,0.55611,0.94389,0.14406,0.99875,0.0074,0.20618,0.5885,0.49751,False
51,0.63008,0.49902,0.54616,0.95384,0.18301,0.99962,0.04415,0.22947,0.60599,0.51001,False
52,0.62899,0.50037,0.547,0.953,0.23069,0.99965,0.0381,0.23892,0.60337,0.50795,False
53,0.67135,0.55934,0.55559,0.94441,0.43629,0.99545,0.16336,0.34926,0.64985,0.55054,False
54,0.66382,0.55753,0.55663,0.94337,0.57128,0.99786,0.12948,0.36807,0.63689,0.53902,False
55,0.65388,0.54823,0.53828,0.96172,0.66619,0.99909,0.07874,0.36346,0.62161,0.52177,False
56,0.64541,0.54442,0.5473,0.9527,0.74869,0.99986,0.05266,0.37506,0.60919,0.5129,False
