cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
87,1.348,False,,0.94724,0.05276,0.95814,0,0,1.0,0.83918,0.94378,0.83918,0.83918,0.83918
88,1.3519999999999999,False,,0.94593,0.05407,0.95927,0,0,1.0,0.83261,0.94176,0.83261,0.83261,0.83261
89,1.3559999999999999,False,,0.94487,0.05513,0.96204,0,0,1.0,0.82503,0.93958,0.82503,0.82503,0.82503
90,1.3599999999999999,False,,0.94707,0.05293,0.96586,0,0,1.0,0.82927,0.94129,0.82927,0.82927,0.82927
91,1.3639999999999999,False,,0.94916,0.05084,0.96241,0,0,1.0,0.84174,0.94443,0.84174,0.84174,0.84174
92,1.3679999999999999,False,,0.94793,0.05207,0.95632,0,0,1.0,0.84413,0.94533,0.84413,0.84413,0.84413
93,1.3719999999999999,False,,0.94803,0.05197,0.95751,0,0,1.0,0.84311,0.94518,0.84311,0.84311,0.84311
94,1.376,False,,0.95045,0.04955,0.97093,0,0,1.0,0.8367,0.94386,0.8367,0.8367,0.8367
95,1.38,False,,0.94978,0.05022,0.96582,0,0,1.0,0.84014,0.94491,0.84014,0.84014,0.84014
96,1.384,False,,0.94967,0.05033,0.96942,0,0,1.0,0.83539,0.94366,0.83539,0.83539,0.83539
97,1.388,False,,0.94923,0.05077,0.96767,0,0,1.0,0.83572,0.94368,0.83572,0.83572,0.83572
98,1.392,False,,0.94871,0.05129,0.95948,0,0,1.0,0.84346,0.94529,0.84346,0.84346,0.84346
99,1.396,False,,0.94887,0.05113,0.96262,0,0,1.0,0.84034,0.94471,0.84034,0.84034,0.84034
100,1.4,False,,0.94717,0.05283,0.95532,0,0,1.0,0.84228,0.94459,0.84228,0.84228,0.84228
