cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
110,0.68931,0.60671,0.64087,0.85913,0.73499,0.99988,0.25229,0.48954,0.66566,0.58078,False
111,0.65902,0.5777,0.63953,0.86047,0.81727,0.9994,0.15358,0.46529,0.62634,0.54722,False
112,0.67525,0.59874,0.64495,0.85505,0.86712,0.99967,0.20324,0.50172,0.64494,0.5641,False
113,0.67327,0.60044,0.64883,0.85117,0.93182,0.99979,0.1953,0.51549,0.64084,0.5614,False
114,0.67333,0.6044,0.65617,0.84383,0.98676,1.0,0.19656,0.53199,0.63958,0.56183,False
115,0.69864,0.63315,0.66153,0.83847,0.98978,0.99953,0.27786,0.57094,0.6706,0.58947,False
116,0.69256,0.62323,0.66519,0.83481,0.91358,0.99965,0.26692,0.54807,0.66535,0.58575,False
117,0.6809,0.60626,0.66909,0.83091,0.81766,0.99982,0.24041,0.51333,0.65383,0.57674,False
118,0.67398,0.59535,0.67278,0.82722,0.73968,0.99992,0.22707,0.48894,0.64761,0.5722,False
119,0.68355,0.60464,0.67565,0.82435,0.70654,0.99971,0.2608,0.49669,0.6603,0.58367,False
120,0.68097,0.59924,0.6788,0.8212,0.64566,0.99977,0.25921,0.4817,0.6589,0.58313,False
121,0.6771,0.59085,0.68033,0.81967,0.55801,0.9997,0.25452,0.45814,0.65662,0.58154,False
122,0.65567,0.5619,0.68464,0.81536,0.43497,0.9999,0.20024,0.40424,0.6339,0.56308,False
123,0.65166,0.55316,0.6869,0.8131,0.34127,0.9999,0.19598,0.37958,0.63163,0.56163,False
124,0.64399,0.54272,0.68812,0.81188,0.2964,0.9999,0.17645,0.35994,0.62352,0.55499,False
125,0.59173,0.48535,0.67706,0.82294,0.31924,0.99869,0.00867,0.28683,0.55875,0.49795,False
126,0.59825,0.4888,0.67357,0.82643,0.25851,0.99884,0.03023,0.2803,0.56829,0.50528,False
127,0.61429,0.50078,0.68876,0.81124,0.10566,0.99997,0.09917,0.27767,0.59247,0.52872,False
128,0.60852,0.48874,0.6825,0.8175,0.0114,0.99985,0.0838,0.24531,0.58784,0.52349,False
129,0.623,0.50538,0.68312,0.81688,0.0265,0.99998,0.12734,0.26887,0.60515,0.5383,False
130,0.67781,0.57207,0.67809,0.82191,0.17358,0.9989,0.28236,0.37388,0.66804,0.591,False
131,0.70128,0.60259,0.67348,0.82652,0.28544,0.99884,0.34329,0.42789,0.69354,0.61172,False
132,0.67857,0.57974,0.6768,0.8232,0.31773,0.99983,0.27299,0.40532,0.66494,0.58782,False
133,0.70155,0.60829,0.67097,0.82903,0.404,0.99957,0.33354,0.45238,0.69052,0.6084,False
134,0.69176,0.60042,0.67049,0.82951,0.46252,0.99982,0.29901,0.45133,0.67692,0.59666,False
135,0.68308,0.59672,0.66775,0.83225,0.58366,0.9994,0.26264,0.46443,0.66291,0.5843,False
136,0.67297,0.58992,0.67312,0.82688,0.65278,0.99991,0.23021,0.46873,0.64877,0.57327,False
137,0.67014,0.59181,0.66998,0.83002,0.75917,0.9994,0.21256,0.48644,0.64232,0.56727,False
138,0.67311,0.59724,0.6771,0.8229,0.78228,0.99991,0.22446,0.49971,0.64548,0.57132,False
139,0.69746,0.62718,0.67265,0.82735,0.86029,0.9993,0.29106,0.54784,0.67301,0.59396,False
140,0.6691,0.60072,0.68325,0.81675,0.91823,0.99987,0.20712,0.52774,0.63699,0.56542,False
141,0.67241,0.60821,0.68577,0.81423,0.98714,0.99991,0.2142,0.54891,0.63921,0.56783,False
142,0.69003,0.62873,0.69372,0.80628,0.9871,0.99986,0.27362,0.57802,0.66097,0.58803,False
143,0.70121,0.63862,0.69311,0.80689,0.93844,0.99885,0.31168,0.5828,0.67599,0.60097,False
144,0.67,0.60022,0.7005,0.7995,0.83277,0.99969,0.22782,0.52086,0.64089,0.57246,False
