cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
87,1,False,,0.94732,0.05268,0.95476,0,0,1.0,0.84357,0.945,0.84357,0.84357,0.84357
88,1,False,,0.94677,0.05323,0.95802,0,0,1.0,0.83746,0.94324,0.83746,0.83746,0.83746
89,1,False,,0.94633,0.05367,0.95574,0,0,1.0,0.83843,0.9435,0.83843,0.83843,0.83843
90,1,False,,0.94615,0.05385,0.95397,0,0,1.0,0.83985,0.9438,0.83985,0.83985,0.83985
91,1,False,,0.94763,0.05237,0.95648,0,0,1.0,0.84273,0.94484,0.84273,0.84273,0.84273
92,1,False,,0.94774,0.05226,0.95817,0,0,1.0,0.84117,0.94461,0.84117,0.84117,0.84117
93,1,False,,0.94857,0.05143,0.96039,0,0,1.0,0.8418,0.94498,0.8418,0.8418,0.8418
94,1,False,,0.94844,0.05156,0.9644,0,0,1.0,0.83649,0.94356,0.83649,0.83649,0.83649
95,1,False,,0.94781,0.05219,0.96075,0,0,1.0,0.83835,0.94391,0.83835,0.83835,0.83835
96,1,False,,0.94692,0.05308,0.95711,0,0,1.0,0.83913,0.94383,0.83913,0.83913,0.83913
97,1,False,,0.94681,0.05319,0.95599,0,0,1.0,0.84004,0.94405,0.84004,0.84004,0.84004
98,1,False,,0.94645,0.05355,0.95236,0,0,1.0,0.84296,0.94465,0.84296,0.84296,0.84296
99,1,False,,0.9454,0.0546,0.94889,0,0,1.0,0.84293,0.94432,0.84293,0.84293,0.84293
100,1,False,,0.9451,0.0549,0.94713,0,0,1.0,0.84385,0.94449,0.84385,0.84385,0.84385
